Date,PriceBTC,OpenBTC,HighBTC,LowBTC,PriceGold,OpenGold,HighGold,LowGold
2012-02-05,5.925,5.925,5.925,5.925,1747.35,1751.9,1761.1999999999998,1733.7
2012-02-12,5.642857142857144,5.642857142857144,5.642857142857144,5.642857142857144,1732.1599999999999,1731.6200000000001,1744.3799999999999,1717.4399999999998
2012-02-19,4.485714285714287,4.485714285714287,4.485714285714287,4.485714285714287,1723.3,1724.1200000000001,1731.6799999999998,1716.56
2012-02-26,4.685714285714286,4.685714285714286,4.685714285714286,4.685714285714286,1771.775,1761.825,1777.1499999999999,1756.9750000000001
2012-03-04,4.828571428571428,4.828571428571428,4.828571428571428,4.828571428571428,1740.08,1750.6,1760.6,1721.7600000000002
2012-03-11,4.9142857142857155,4.9142857142857155,4.9142857142857155,4.9142857142857155,1693.3399999999997,1695.08,1702.1200000000001,1680.3200000000002
2012-03-18,5.242857142857142,5.242857142857142,5.242857142857142,5.242857142857142,1670.0,1677.94,1682.8799999999999,1659.7399999999998
2012-03-25,4.714285714285714,4.714285714285714,4.714285714285714,4.714285714285714,1653.64,1653.52,1658.9600000000003,1644.06
2012-04-01,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,1669.94,1669.06,1677.6599999999999,1662.1
2012-04-08,4.871428571428572,4.871428571428572,4.871428571428572,4.871428571428572,1647.075,1653.825,1660.625,1633.525
2012-04-15,4.914285714285714,4.914285714285714,4.914285714285714,4.914285714285714,1659.92,1656.48,1664.5399999999997,1645.48
2012-04-22,5.128571428571429,5.128571428571429,5.128571428571429,5.128571428571429,1644.1,1647.9600000000003,1652.3600000000001,1637.8399999999997
2012-04-29,5.042857142857143,5.042857142857143,5.042857142857143,5.042857142857143,1647.98,1646.1800000000003,1652.08,1639.7400000000002
2012-05-06,5.057142857142858,5.057142857142858,5.057142857142858,5.057142857142858,1651.48,1654.8200000000002,1658.6399999999999,1644.7400000000002
2012-05-13,4.971428571428571,4.971428571428571,4.971428571428571,4.971428571428571,1603.0,1610.0400000000002,1611.2,1598.6799999999998
2012-05-20,5.071428571428571,5.071428571428571,5.071428571428571,5.071428571428571,1563.9399999999998,1556.0800000000002,1566.52,1548.2999999999997
2012-05-27,5.114285714285714,5.114285714285714,5.114285714285714,5.114285714285714,1567.78,1564.6,1572.1599999999999,1560.7000000000003
2012-06-03,5.200000000000001,5.200000000000001,5.200000000000001,5.200000000000001,1573.775,1562.825,1588.525,1550.6000000000001
2012-06-10,5.5,5.5,5.5,5.5,1607.3799999999999,1614.9,1622.28,1597.36
2012-06-17,6.028571428571429,6.028571428571429,6.028571428571429,6.028571428571429,1614.3399999999997,1611.16,1619.92,1602.2599999999998
2012-06-24,6.499999999999999,6.499999999999999,6.499999999999999,6.499999999999999,1598.6399999999999,1607.8799999999999,1609.8400000000001,1592.22
2012-07-01,6.571428571428572,6.571428571428572,6.571428571428572,6.571428571428572,1578.44,1572.3399999999997,1583.3,1562.4
2012-07-08,6.671428571428571,6.671428571428571,6.671428571428571,6.671428571428571,1601.4499999999998,1602.925,1608.825,1594.625
2012-07-15,7.428571428571429,7.428571428571429,7.428571428571429,7.428571428571429,1579.92,1579.1600000000003,1586.0399999999997,1569.76
2012-07-22,8.728571428571428,8.728571428571428,8.728571428571428,8.728571428571428,1582.6600000000003,1585.4599999999998,1588.1399999999999,1577.3
2012-07-29,8.742857142857144,8.742857142857144,8.742857142857144,8.742857142857144,1598.8,1591.5399999999997,1597.22,1590.92
2012-08-05,10.214285714285714,10.214285714285714,10.214285714285714,10.214285714285714,1605.4599999999998,1609.34,1618.32,1596.6600000000003
2012-08-12,11.242857142857142,11.242857142857142,11.242857142857142,11.242857142857142,1614.46,1610.8600000000001,1617.1600000000003,1606.06
2012-08-19,11.742857142857144,11.742857142857144,11.742857142857144,11.742857142857144,1609.02,1609.3200000000002,1615.48,1600.42
2012-08-26,10.228571428571428,10.228571428571428,10.228571428571428,10.228571428571428,1647.36,1639.6199999999997,1651.1599999999999,1637.3600000000001
2012-09-02,10.557142857142859,10.557142857142859,10.557142857142859,10.557142857142859,1667.36,1663.2,1673.14,1657.0400000000002
2012-09-09,10.87142857142857,10.87142857142857,10.87142857142857,10.87142857142857,1705.9499999999998,1693.1499999999999,1710.4750000000001,1692.8
2012-09-16,11.528571428571428,11.528571428571428,11.528571428571428,11.528571428571428,1746.0,1742.2,1750.7599999999998,1737.64
2012-09-23,12.271428571428572,12.271428571428572,12.271428571428572,12.271428571428572,1769.6599999999999,1774.3,1775.2599999999998,1764.02
2012-09-30,12.299999999999999,12.299999999999999,12.299999999999999,12.299999999999999,1765.0400000000002,1765.3799999999999,1772.28,1758.1
2012-10-07,12.571428571428571,12.571428571428571,12.571428571428571,12.571428571428571,1780.64,1778.3600000000001,1787.44,1773.6799999999998
2012-10-14,11.914285714285715,11.914285714285715,11.914285714285715,11.914285714285715,1765.3,1769.64,1771.8799999999999,1760.48
2012-10-21,11.77142857142857,11.77142857142857,11.77142857142857,11.77142857142857,1739.6599999999999,1745.2600000000002,1747.0600000000002,1734.8
2012-10-28,11.0,11.0,11.0,11.0,1711.36,1713.56,1719.64,1707.9599999999998
2012-11-04,10.742857142857144,10.742857142857144,10.742857142857144,10.742857142857144,1704.78,1713.8200000000002,1717.4599999999998,1703.9199999999996
2012-11-11,10.871428571428572,10.871428571428572,10.871428571428572,10.871428571428572,1713.0399999999997,1706.0400000000002,1718.2600000000002,1701.98
2012-11-18,11.314285714285713,11.314285714285713,11.314285714285713,11.314285714285713,1722.3200000000002,1722.3400000000001,1725.9,1717.3799999999999
2012-11-25,12.12857142857143,12.12857142857143,12.12857142857143,12.12857142857143,1734.1000000000001,1728.3,1730.725,1726.275
2012-12-02,12.428571428571429,12.428571428571429,12.428571428571429,12.428571428571429,1729.2599999999998,1736.2600000000002,1739.3799999999999,1727.4
2012-12-09,13.3,13.3,13.3,13.3,1702.14,1704.7599999999998,1710.2599999999998,1692.3
2012-12-16,13.542857142857143,13.542857142857143,13.542857142857143,13.542857142857143,1705.8399999999997,1705.9599999999998,1711.9599999999998,1700.48
2012-12-23,13.414285714285715,13.414285714285715,13.414285714285715,13.414285714285715,1667.4,1676.6200000000001,1681.0,1657.7
2012-12-30,13.414285714285715,13.414285714285715,13.414285714285715,13.414285714285715,1658.975,1658.1,1664.15,1654.825
2013-01-06,13.400000000000002,13.400000000000002,13.400000000000002,13.400000000000002,1671.125,1665.3249999999998,1679.0,1653.2749999999999
2013-01-13,13.942857142857141,13.942857142857141,13.942857142857141,13.942857142857141,1659.8200000000002,1661.6799999999998,1665.6799999999998,1653.8799999999999
2013-01-20,15.114285714285714,15.114285714285714,15.114285714285714,15.114285714285714,1682.4,1675.0399999999997,1685.0400000000002,1673.6799999999998
2013-01-27,17.371428571428574,17.371428571428574,17.371428571428574,17.371428571428574,1676.25,1681.35,1683.275,1674.55
2013-02-03,19.857142857142858,19.857142857142858,19.857142857142858,19.857142857142858,1664.6,1662.9,1672.28,1658.28
2013-02-10,22.08571428571429,22.08571428571429,22.08571428571429,22.08571428571429,1672.36,1672.58,1678.6,1664.8
2013-02-17,26.042857142857144,26.042857142857144,26.042857142857144,26.042857142857144,1636.92,1647.3600000000001,1650.3,1631.7
2013-02-24,29.400000000000002,29.400000000000002,29.400000000000002,29.400000000000002,1582.9499999999998,1590.8,1597.625,1572.075
2013-03-03,32.728571428571435,32.728571428571435,32.728571428571435,32.728571428571435,1589.2400000000002,1592.22,1601.0,1579.92
2013-03-10,42.357142857142854,42.357142857142854,42.357142857142854,42.357142857142854,1574.5399999999997,1578.92,1582.7199999999998,1568.7200000000003
2013-03-17,46.885714285714286,46.885714285714286,46.885714285714286,46.885714285714286,1588.14,1584.8600000000001,1590.72,1581.34
2013-03-24,64.52857142857142,64.52857142857142,64.52857142857142,64.52857142857142,1608.6799999999998,1610.56,1611.56,1607.3600000000001
2013-03-31,86.12857142857142,86.12857142857142,86.12857142857142,86.12857142857142,1600.35,1601.5249999999999,1604.5749999999998,1593.9499999999998
2013-04-07,133.7571428571429,133.7571428571429,133.7571428571429,133.7571428571429,1571.02,1576.44,1583.48,1561.4599999999998
2013-04-14,143.9142857142857,143.9142857142857,143.9142857142857,143.9142857142857,1556.3600000000001,1569.94,1576.6799999999998,1545.92
2013-04-21,102.45714285714287,102.45714285714287,102.45714285714287,102.45714285714287,1383.3799999999999,1395.24,1419.8600000000001,1354.7599999999998
2013-04-28,138.0142857142857,138.0142857142857,138.0142857142857,138.0142857142857,1433.6799999999998,1431.98,1446.56,1423.48
2013-05-05,118.98571428571428,118.98571428571428,118.98571428571428,118.98571428571428,1463.5800000000002,1466.8200000000002,1477.5,1455.64
2013-05-12,113.71428571428571,113.71428571428571,113.71428571428571,113.71428571428571,1459.3200000000002,1462.48,1470.16,1446.94
2013-05-19,118.71428571428571,118.71428571428571,118.71428571428571,118.71428571428571,1401.5399999999997,1414.5800000000002,1419.3799999999999,1393.92
2013-05-26,127.65714285714286,127.65714285714286,127.65714285714286,127.65714285714286,1381.7,1376.8000000000002,1392.3,1366.1
2013-06-02,128.64285714285714,128.64285714285714,128.64285714285714,128.64285714285714,1394.0900000000001,1392.5099999999998,1403.7099999999998,1385.55
2013-06-09,114.61428571428571,114.61428571428571,114.61428571428571,114.61428571428571,1401.18,1402.1399999999999,1415.9,1388.48
2013-06-16,103.95714285714284,103.95714285714284,103.95714285714284,103.95714285714284,1383.98,1381.7400000000002,1389.0600000000002,1373.3000000000002
2013-06-23,107.77142857142857,107.77142857142857,107.77142857142857,107.77142857142857,1340.1,1354.0,1358.9599999999998,1327.08
2013-06-30,99.75714285714285,99.75714285714285,99.75714285714285,99.75714285714285,1243.2800000000002,1255.6200000000001,1266.22,1231.84
2013-07-07,76.07142857142857,76.07142857142857,76.07142857142857,76.07142857142857,1242.31,1247.97,1259.15,1233.81
2013-07-14,84.97142857142856,84.97142857142856,84.97142857142856,84.97142857142856,1257.22,1253.0,1264.18,1249.3200000000002
2013-07-21,88.38571428571429,88.38571428571429,88.38571428571429,88.38571428571429,1286.0800000000002,1284.94,1292.48,1279.8200000000002
2013-07-28,88.81428571428572,88.81428571428572,88.81428571428572,88.81428571428572,1328.3799999999999,1327.8,1336.58,1320.8799999999999
2013-08-04,96.34285714285714,96.34285714285714,96.34285714285714,96.34285714285714,1317.28,1322.16,1328.5,1307.88
2013-08-11,95.22857142857143,95.22857142857143,95.22857142857143,95.22857142857143,1299.1,1299.14,1308.24,1288.24
2013-08-18,97.88571428571427,97.88571428571427,97.88571428571427,97.88571428571427,1344.6399999999999,1334.74,1353.2599999999998,1327.2
2013-08-25,108.07142857142857,108.07142857142857,108.07142857142857,108.07142857142857,1375.36,1369.06,1383.46,1363.14
2013-09-01,120.81428571428572,120.81428571428572,120.81428571428572,120.81428571428572,1408.3200000000002,1408.8600000000001,1415.8600000000001,1400.38
2013-09-08,121.15714285714286,121.15714285714286,121.15714285714286,121.15714285714286,1391.0800000000002,1390.1799999999998,1402.6,1377.0
2013-09-15,123.9857142857143,123.9857142857143,123.9857142857143,123.9857142857143,1350.7199999999998,1363.2,1363.22,1345.7000000000003
2013-09-22,124.25714285714287,124.25714285714287,124.25714285714287,124.25714285714287,1327.42,1328.78,1342.1799999999998,1321.34
2013-09-29,123.58571428571429,123.58571428571429,123.58571428571429,123.58571428571429,1328.1599999999999,1325.54,1334.02,1320.9199999999998
2013-10-06,118.47142857142858,118.47142857142858,118.47142857142858,118.47142857142858,1312.04,1318.1,1328.7400000000002,1298.8
2013-10-13,125.91428571428571,125.91428571428571,125.91428571428571,125.91428571428571,1304.1,1309.64,1315.36,1295.42
2013-10-20,146.31428571428572,146.31428571428572,146.31428571428572,146.31428571428572,1293.7,1290.98,1300.28,1283.0
2013-10-27,183.0714285714286,183.0714285714286,183.0714285714286,183.0714285714286,1338.94,1328.66,1339.3600000000001,1328.6
2013-11-03,197.9857142857143,197.9857142857143,197.9857142857143,197.9857142857143,1336.58,1342.3,1346.8799999999999,1334.78
2013-11-10,281.90000000000003,281.90000000000003,281.90000000000003,281.90000000000003,1306.64,1314.6,1317.6599999999999,1302.16
2013-11-17,400.4428571428572,388.0142857142858,407.2428571428572,379.3142857142857,1278.78,1281.1599999999999,1285.28,1276.04
2013-11-24,692.8714285714285,625.7142857142857,706.7714285714285,583.0428571428572,1258.2,1263.3600000000001,1264.6200000000001,1252.6
2013-12-01,966.4714285714284,932.6000000000001,979.4428571428572,913.6857142857144,1242.94,1238.2800000000002,1247.66,1235.48
2013-12-08,946.4142857142858,974.2571428571429,1050.0428571428572,871.342857142857,1231.1399999999999,1232.88,1242.22,1215.58
2013-12-15,922.3571428571428,918.4714285714286,950.1285714285714,889.3714285714286,1243.58,1242.26,1253.3,1233.6399999999999
2013-12-22,645.5571428571429,681.5428571428572,728.5857142857143,578.7428571428571,1222.58,1224.8799999999999,1234.1,1211.36
2013-12-29,693.65,697.7333333333332,711.1999999999999,681.3166666666666,1208.425,1206.375,1211.3000000000002,1203.4
2014-01-05,785.4428571428571,771.3857142857142,789.4428571428572,765.9857142857144,1214.7599999999998,1208.2,1219.92,1201.04
2014-01-12,860.5285714285714,868.1999999999999,884.8142857142857,839.0,1233.7,1232.08,1238.54,1225.26
2014-01-19,818.2857142857143,829.4285714285714,835.1,813.1142857142858,1245.18,1244.74,1248.8600000000001,1240.82
2014-01-26,808.3142857142857,809.5714285714286,816.6571428571427,784.8999999999999,1252.7,1249.46,1258.2,1245.34
2014-02-02,795.6333333333333,796.2833333333333,807.4500000000002,781.6166666666667,1251.8200000000002,1258.1,1261.44,1250.08
2014-02-09,757.9428571428572,767.2142857142857,774.2571428571429,748.3714285714286,1258.06,1254.22,1267.8200000000002,1250.7
2014-02-16,661.1285714285714,678.1285714285714,699.0571428571429,628.3571428571429,1295.92,1285.82,1297.94,1282.8
2014-02-23,611.9,614.8142857142857,630.4571428571429,594.3857142857142,1322.9599999999998,1319.1200000000001,1327.24,1314.22
2014-03-02,561.7428571428571,571.9857142857143,585.2714285714286,537.4285714285714,1332.5,1332.2,1338.9,1325.1599999999999
2014-03-09,645.7285714285715,636.0142857142857,659.4,622.9857142857143,1343.58,1341.72,1349.96,1332.48
2014-03-16,632.657142857143,627.7714285714286,635.9714285714286,625.2428571428572,1361.8799999999999,1353.6,1365.7400000000002,1350.72
2014-03-23,590.3142857142857,600.3285714285714,608.6142857142858,587.7714285714285,1347.96,1355.06,1356.8,1343.8200000000002
2014-03-30,531.2714285714286,547.6571428571428,555.1428571428571,517.2857142857143,1302.9,1310.12,1311.56,1302.08
2014-04-06,455.91428571428565,459.50000000000006,472.2428571428572,440.77142857142854,1288.2199999999998,1287.1799999999998,1296.1,1281.4
2014-04-13,421.57142857142856,428.2428571428572,441.30000000000007,406.42857142857144,1310.1999999999998,1307.66,1315.66,1304.3
2014-04-20,500.7142857142857,483.37142857142857,507.2857142857143,474.97142857142853,1305.925,1311.4,1314.925,1299.775
2014-04-27,476.1714285714285,487.12857142857143,489.8285714285715,469.34285714285716,1288.8,1288.38,1296.2,1281.66
2014-05-04,444.8857142857143,445.7142857142857,451.88571428571424,438.04285714285714,1295.2400000000002,1292.46,1298.76,1284.6799999999998
2014-05-11,438.12857142857143,439.2142857142857,445.85714285714283,432.97142857142853,1296.1200000000001,1300.8200000000002,1302.88,1294.6399999999999
2014-05-18,440.9142857142857,439.11428571428576,441.54285714285714,435.7714285714286,1296.54,1293.24,1298.8200000000002,1290.42
2014-05-25,496.1285714285714,478.0142857142858,501.9714285714286,474.85714285714283,1292.4,1292.1833333333334,1292.4,1291.6166666666668
2014-06-01,600.8714285714286,590.5142857142857,609.5714285714286,583.6857142857143,1263.8200000000002,1271.2400000000002,1273.1600000000003,1264.74
2014-06-08,664.0428571428572,660.8428571428573,673.9142857142857,648.6285714285715,1247.42,1247.3200000000002,1252.0400000000002,1242.3200000000002
2014-06-15,606.0571428571428,621.0142857142857,628.0285714285714,595.8285714285714,1264.2800000000002,1259.5,1266.3999999999999,1258.6399999999999
2014-06-22,602.6,597.3285714285714,610.6857142857142,592.7571428571429,1289.7800000000002,1284.22,1294.28,1276.6200000000001
2014-06-29,591.8000000000001,593.1857142857143,599.0142857142856,585.8142857142857,1319.2400000000002,1316.0399999999997,1321.28,1313.12
2014-07-06,639.6857142857143,639.3142857142857,648.2428571428571,631.4428571428572,1447.4,1323.44,1328.5,1319.48
2014-07-13,621.1714285714286,622.0142857142857,626.7428571428571,615.0428571428571,1482.14,1326.08,1331.38,1323.48
2014-07-20,623.3714285714285,623.1285714285715,626.9714285714286,616.9571428571428,1460.74,1312.8799999999999,1318.8999999999999,1301.0
2014-07-27,604.6285714285714,609.1428571428571,611.5142857142857,598.4142857142857,1459.8200000000002,1302.7800000000002,1303.68,1302.7800000000002
2014-08-03,579.4571428571429,578.5142857142857,588.3999999999999,568.6714285714286,1453.48,1299.22,1303.1599999999999,1293.12
2014-08-10,580.8,580.8142857142857,585.2428571428571,578.7571428571429,1455.3600000000001,1297.3200000000002,1306.4,1293.3600000000001
2014-08-17,533.1714285714286,544.9571428571429,550.0285714285714,519.8,1465.44,1309.38,1313.46,1303.56
2014-08-24,503.4857142857143,501.64285714285717,514.9428571428571,487.87142857142857,1442.8200000000002,1292.3200000000002,1293.92,1285.02
2014-08-31,502.8,507.74285714285713,511.14285714285717,500.80000000000007,1413.5666666666666,1309.7166666666667,1311.5166666666667,1307.2333333333333
2014-09-07,480.62857142857143,481.54285714285714,486.5285714285714,476.8142857142857,1395.48,1274.06,1277.8400000000001,1267.0
2014-09-14,474.84285714285716,475.0571428571428,479.88571428571424,468.82857142857154,1400.0000000000002,1247.2599999999998,1247.2599999999998,1243.3799999999999
2014-09-21,432.37142857142857,442.61428571428576,450.1571428571429,424.7571428571428,1386.5600000000002,1227.1399999999999,1229.6399999999999,1223.8000000000002
2014-09-28,404.47142857142853,408.1,416.6428571428572,394.87142857142857,1374.6200000000001,1215.2599999999998,1216.58,1214.7599999999998
2014-10-05,360.04285714285714,368.5428571428571,375.8142857142857,350.07142857142856,1365.1200000000001,1213.3,1218.02,1205.1
2014-10-12,351.5857142857143,345.2,360.40000000000003,335.5571428571429,1356.2,1241.0,1243.9,1238.3
2014-10-19,387.24285714285713,384.12857142857143,393.7571428571428,376.2714285714286,1333.1799999999998,1237.78,1239.48,1232.6
2014-10-26,364.75714285714287,369.8428571428572,373.54285714285714,360.11428571428576,1361.9599999999998,1238.1,1240.1,1237.6
2014-11-02,338.2142857142857,342.6714285714285,346.4857142857143,334.4714285714286,1334.6,1218.5400000000002,1219.98,1206.7
2014-11-09,340.42857142857144,335.8142857142857,344.4857142857143,332.24285714285713,1281.6399999999999,1156.48,1165.84,1147.3399999999997
2014-11-16,390.87142857142857,388.7,404.08571428571435,373.58571428571435,1286.7599999999998,1161.48,1173.02,1152.56
2014-11-23,364.14285714285705,369.0,376.7142857142857,358.6285714285714,1311.48,1191.9,1195.3200000000002,1188.84
2014-11-30,373.32857142857137,372.14285714285717,381.7714285714286,362.7714285714286,1284.78,1197.92,1198.72,1187.3000000000002
2014-12-07,375.8857142857143,376.0,380.14285714285705,371.4428571428571,1321.6,1196.3400000000001,1213.08,1183.48
2014-12-14,352.9285714285714,356.0857142857143,360.84285714285716,348.50000000000006,1337.18,1215.6399999999999,1227.88,1209.6399999999999
2014-12-21,323.7571428571428,329.6714285714285,333.67142857142863,319.04285714285714,1306.3,1201.24,1210.56,1192.1799999999998
2014-12-28,323.65714285714284,324.00000000000006,328.1857142857143,318.07142857142856,1269.94,1181.3,1186.1799999999998,1174.7199999999998
2015-01-04,301.07142857142856,310.1285714285714,313.0857142857143,299.3,1292.94,1245.02,1251.48,1246.24
2015-01-11,282.1714285714285,281.3,290.3285714285715,274.0857142857143,1355.6599999999999,1352.9599999999998,1352.9599999999998,1351.98
2015-01-18,216.58571428571432,224.5714285714286,238.27142857142854,203.52857142857144,1364.8166666666666,1360.8666666666668,1361.0166666666667,1360.35
2015-01-25,230.35714285714286,226.24285714285716,237.04285714285714,218.24285714285716,1388.9,1378.6599999999999,1378.6799999999998,1377.2400000000002
2015-02-01,240.81428571428572,245.72857142857146,260.3285714285714,227.14285714285714,1394.1799999999998,1397.4599999999998,1397.4599999999998,1397.4599999999998
2015-02-08,226.64285714285714,227.21428571428575,233.22857142857143,220.20000000000002,1362.1200000000001,1360.8400000000001,1360.8400000000001,1360.8400000000001
2015-02-15,230.4857142857143,228.88571428571427,237.92857142857142,221.78571428571428,1310.5,1310.3999999999999,1310.5833333333333,1310.3333333333333
2015-02-22,240.1,239.95714285714286,245.97142857142856,234.54285714285717,1290.6399999999999,1292.7199999999998,1294.26,1292.68
2015-03-01,246.72857142857143,243.04285714285714,249.58571428571426,238.91428571428568,1300.6599999999999,1300.6599999999999,1300.6599999999999,1300.6599999999999
2015-03-08,276.84285714285716,274.9857142857143,282.42857142857144,267.11428571428576,1294.4599999999998,1294.4599999999998,1294.4599999999998,1294.4599999999998
2015-03-15,289.8285714285715,288.17142857142863,295.35714285714283,285.62857142857143,1254.48,1254.48,1254.48,1254.48
2015-03-22,269.59999999999997,272.1714285714286,277.4,263.4428571428571,1255.1,1255.1,1255.1,1255.1
2015-03-29,250.01428571428573,253.84285714285716,257.2428571428572,245.25714285714284,1286.98,1286.98,1286.98,1286.98
2015-04-05,251.5142857142857,249.0,253.47142857142856,246.52857142857144,1283.84,1283.84,1283.84,1283.84
2015-04-12,243.8857142857143,247.32857142857142,249.21428571428572,240.5285714285714,1293.96,1293.96,1293.96,1293.96
2015-04-19,223.62857142857143,225.65714285714284,228.21428571428572,220.04285714285714,1284.7,1284.7,1284.7,1284.7
2015-04-26,229.6142857142857,230.14285714285714,232.8,225.65714285714284,1277.1,1277.1,1277.1,1277.1
2015-05-03,231.65714285714287,228.57142857142853,235.2571428571429,226.64285714285714,1285.94,1285.94,1285.94,1285.94
2015-05-10,238.37142857142857,238.37142857142857,243.29999999999998,234.04285714285714,1282.98,1282.98,1282.98,1282.98
